브랜드,제품명,검색 순위,쿠팡 판매가,쿠팡 판매가 단위별 가격,와우 할인가,와우 할인가 단위별 가격,상품평 수
,국내산 닭가슴살 10kg. 1kg x 10 냉장,1,"55,000원",(100g당 550원),없음,,117개
올품,"올품 IQF 닭가슴살 1kg x 5봉, 1kg, 5개",2,"38,600원",(100g당 772원),없음,,952개
,"한강식품 IQF 무항생제 닭가슴살 (냉동), 1kg, 5개",3,"40,160원",(100g당 803원),없음,,"13,760개"
,"브린 껍질없는 닭가슴살, 5kg, 1개",4,"30,290원",(100g당 606원),없음,,937개
,"사계림 국내산 냉장 생닭가슴살 2kg포장, 14kg(2kg X..., 7개",5,"80,840원",(100g당 577원),없음,,54개
모디바,"모디바 국내산 냉동 닭가슴살 10kg (200gX50팩), 10kg, 50개",6,"77,800원",(100g당 778원),없음,,"3,762개"
,국내산 냉장 닭가슴살 10kg. 2kg x 5,7,"50,550원","(100g당 1,011원)","46,350원",(100g당 927원),136개
,[치킨테이블] 무항상제 닭 가슴살(S/L) 총10kg (1kg 포장) 냉동,8,"50,000원",,없음,,128개
,"사계림 국내산 냉장 생닭가슴살 2kg포장, 10kg(2kg X..., 5개",9,"58,430원",(100g당 584원),없음,,54개
하림IFF,"하림 IFF 닭가슴살 (냉동), 2kg, 1개",10,"19,930원",(100g당 997원),없음,,"91,399개"
모디바,"모디바 국내산 냉동 생닭가슴살 10KG (1kgX10Pack), 1kg, 10개",11,"67,500원",(100g당 675원),없음,,"3,762개"
,"치킨마켓 국내산 냉동 생닭가슴살10kg(1kg X 10팩), 1kg, 10개",12,"58,900원",(100g당 589원),없음,,263개
,"[브린] 국내산 신선냉장 닭가슴살 일반 대용량 (껍질없음), 5kg, 2개",13,"59,000원",(100g당 590원),없음,,937개
,바네푸드 냉동 닭가슴살 10kg (1kg x 10팩),14,"57,700원",(100g당 577원),없음,,836개
신선애,신선애 냉동 생 닭가슴살 5kg 100gx50팩,15,"52,500원","(100g당 1,050원)",없음,,69개
,"[치킨테이블]무항생제 닭가슴살 총10kg(1kg포장) 냉동, 냉동, 10개",16,"50,000원",,없음,,53개
목우촌,"목우촌 무항생제 인증 IQF 닭가슴살 (냉동), 1kg, 4개",17,"36,140원",(100g당 904원),"31,340원",(100g당 784원),"2,018개"
,"한강식품 IQF 무항생제 닭가슴살 (냉동), 1kg, 2개",18,"17,070원",(100g당 854원),없음,,"13,760개"
하림,"하림 IFF 가슴살, 1kg(1개), 6개",19,"57,900원",(100g당 965원),없음,,"6,006개"
올품,"올품 IQF 통 닭가슴살 1kg x 6봉, 1kg, 6개",20,"46,150원",(100g당 769원),없음,,952개
,"언니네 국내산 생 닭가슴살 200그램 25팩 (5kg) 100g당 700원, 200g, 25개",21,"44,020원",(100g당 880원),없음,,168개
하림IFF,"하림 IFF 닭가슴살 (냉동), 2kg, 2개",22,"38,660원",(100g당 967원),없음,,"91,399개"
신선애,신선애 냉동 생 닭가슴살 3kg 100gx30팩,23,"42,000원","(100g당 1,400원)","32,220원","(100g당 1,074원)",147개
,"무염 무첨가물 순수 닭가슴살 냉동, 500g, 10개",24,"39,820원",(100g당 796원),"30,870원",(100g당 617원),491개
모디바,"모디바 국내산 냉동 닭가슴살 (1kgX5팩) 5kg, 200g, 25개",25,"41,200원",,없음,,"3,762개"
,"한강식품 IQF 무항생제 닭가슴살 (냉동), 1kg, 4개",26,"32,450원",(100g당 811원),없음,,"13,760개"
,"자연의닭 냉장 닭가슴살(껍질없음), 5kg, 1개",27,"32,000원",(100g당 640원),"30,400원",(100g당 608원),"2,460개"
목우촌,"목우촌 무항생제 인증 IQF 닭가슴살 (냉동), 2kg, 2개",28,"39,180원",(100g당 980원),없음,,"2,018개"
모디바,"모디바 국내산 냉동 닭가슴살5kg 닭안심5kg, 1kg, 5개",29,"34,380원",,없음,,"3,762개"
,"브린 껍질없는 닭가슴살, 2kg, 1개",30,"14,700원",(100g당 735원),"13,960원",(100g당 698원),937개
자연실록,"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 4팩",31,"19,680원","(100g당 1,230원)",없음,,"53,287개"
,"한강식품 IQF 무항생제 닭가슴살 (냉동), 1kg, 1개",32,"8,800원",(100g당 880원),없음,,"13,760개"
자연실록,"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 2팩",33,"11,490원","(100g당 1,436원)",없음,,"53,287개"
자연실록,"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 1개",34,"6,030원","(100g당 1,508원)",없음,,"53,287개"
올품,"올품 IQF 통 닭가슴살 1kg x 2봉, 1kg, 2개",35,"17,900원",(100g당 895원),없음,,952개
,"한강식품 IQF 무항생제 닭가슴살 (냉동), 1kg, 3개",36,"25,090원",(100g당 836원),없음,,"13,760개"
목우촌,"목우촌 무항생제 인증 IQF 닭가슴살 (냉동), 1kg, 1개",37,"9,800원",(100g당 980원),"8,600원",(100g당 860원),"2,018개"
,"풀토래_신선냉장 닭가슴살_국내산, 5kg, 1개",38,"31,910원",(100g당 638원),"31,270원",(100g당 625원),"9,899개"
자연실록,"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 3개",39,"14,760원","(100g당 1,230원)",없음,,"53,287개"
,두메산골 두메산골 당일손질 냉장 닭가슴살1kg+1kg,40,"14,440원",,없음,,39개
올품,"올품 IQF 닭가슴살 슬라이스 1kg 3봉, 1kg, 3개",41,"26,340원",(100g당 878원),없음,,"4,017개"
,하림 IFF 냉동 무항생제 닭가슴살 1kg x 3봉,42,"26,540원",(100g당 885원),"25,210원",(100g당 840원),92개
gomgom,"곰곰 1등급 닭가슴살 (냉장), 1kg, 1개",43,"11,460원","(100g당 1,146원)",없음,,"3,474개"
,"풀토래_신선냉장 닭가슴살_국내산, 2kg, 1개",44,"15,680원",(100g당 784원),"15,360원",(100g당 768원),"9,899개"
,"사계림 국내산 냉장 생닭가슴살, 4kg (2kg x..., 2개",45,"26,360원",(100g당 659원),없음,,54개
,"자연의닭 냉장 닭가슴살(껍질없음), 2kg, 1개",46,"11,000원",,없음,,"2,460개"
모디바,"모디바 국내산 냉동 닭가슴살 (500gX4팩) 2KG, 500g, 4개",47,"21,500원","(100g당 1,075원)","18,000원",(100g당 900원),"3,762개"
마니커,"마니커 IQF 닭고기 가슴살 (냉동), 3kg, 1개",48,"29,700원",(100g당 990원),"28,200원",(100g당 940원),"27,978개"
,"모던푸드 국내산 냉동 닭가슴살 1kg 무염 생닭가슴살, 1kg, 1개",49,"5,700원",,없음,,57개
,"참프레 동물복지 인증 IQF 닭가슴살 (냉동), 1kg, 2개",50,"19,200원",(100g당 960원),없음,,95개
,"풀토래_냉장 닭안심 5kg_국내산, 5kg, 1개",51,"28,890원",(100g당 578원),없음,,"2,866개"
,"냉동 생 닭가슴살 대용량 국내산 냉동닭가슴살 1kg 2kg 3kg 5kg 10kg, 냉동닭가슴살1kg1..., 1개",52,"5,700원",,없음,,60개
하림,"하림 IFF 가슴살, 1kg, 2개",53,"20,500원","(100g당 1,025원)",없음,,"6,006개"
,국내산 생 닭가슴살 헬스 냉장 냉동 1kg포장,54,"6,300원",,없음,,63개
올품,"올품 IQF 통 닭가슴살 1kg x 1봉, 1kg, 1개",55,"6,980원",,없음,,952개
올품,"올품 닭가슴살 진공팩 (냉장), 1kg, 2개",56,"22,110원","(100g당 1,106원)",없음,,731개
올품,"올품 닭가슴살 진공팩 (냉장), 1kg, 1개",57,"11,400원","(100g당 1,140원)",없음,,731개
하림IFF,"하림 IFF 닭가슴살 (냉동), 800g, 3개",58,"20,810원",(100g당 867원),없음,,3개
,닭가슴살(냉동) 친환경 2kg,59,"14,340원",,없음,,55개
,"[모던푸드] 무염 국내산 냉동 생 닭가슴살 2봉, 1kg, 2개",60,"14,800원",(100g당 740원),없음,,57개
,신선하닭 국내산 냉장 생닭가슴살 1Kg,61,"7,000원",,없음,,243개
,신선하닭 국내산 생 닭가슴살 5Kg,62,"31,000원",,없음,,107개
마니커,"마니커 1등급 닭가슴살 (냉장), 1kg, 2개",63,"22,400원","(100g당 1,120원)","19,400원",(100g당 970원),"1,791개"
목우촌,"목우촌 무항생제 인증 IQF 닭가슴살 (냉동), 1kg, 3개",64,"27,940원",(100g당 931원),"24,340원",(100g당 811원),"2,018개"
모디바,"모디바 국내산 냉동 생닭가슴살 1kgX3팩 3kg, 500g, 6개",65,"23,400원",,없음,,"3,762개"
,"풀토래_신선냉장 닭안심 2kg_국내산, 2kg, 1개",66,"13,890원",(100g당 695원),없음,,"2,866개"
하림,"하림 IFF 가슴살, 1kg(1개), 3개",67,"30,500원","(100g당 1,017원)",없음,,"6,006개"
,"하림 무항생제 1등급 냉장 생 닭가슴살 1kg, 통(100g), 1개",68,"9,200원",,없음,,109개
gomgom,"곰곰 1등급 닭가슴살 (냉장), 1kg, 2개",69,"22,230원","(100g당 1,112원)",없음,,"3,474개"
,생닭가슴살 국내산 닭가슴살 냉장 무염닭가슴살,70,"9,800원",(100g당 980원),없음,,0개
,푸르델리 냉동 생 닭가슴살 (1kg) 1팩,71,"6,100원",,"5,500원",,100개
,"푸르델리 냉동 생 닭가슴살(500g) 10팩 5kg, 500g, 10개",72,"32,000원",(100g당 640원),"28,800원",(100g당 576원),587개
하림,"하림 IFF 가슴살, 3kg, 1개",73,"33,000원","(100g당 1,100원)",없음,,"6,006개"
,"모던푸드 국내산 냉동 닭가슴살 1kg 무염 생닭가슴살, 1kg, 1개",74,"5,700원",,없음,,57개
,"푸르델리 냉동 생 닭가슴살(120g) 개별진공포장 25팩 3kg, 120g, 25개",75,"28,880원",(100g당 963원),"27,340원",(100g당 911원),587개
모디바,"모디바 국내산 냉동 닭가슴살( 1kgX2팩), 1kg, 2개",76,"15,200원",(100g당 760원),"13,950원",(100g당 698원),"3,762개"
,"풀토래_신선냉장 닭가슴살_국내산, 1kg, 1개",77,"8,280원",,"7,860원",,"9,899개"
하림,"하림 IFF 가슴살, 1kg, 1개",78,"8,300원",,없음,,"6,006개"
,"언니네 국내산 생 닭가슴살 냉동 냉장 500g*10 팩 (5킬로) 실속특판, 1kg*5, 10개",79,"34,670원",(100g당 693원),없음,,168개
,"화산 닭고기 냉장 신선 닭가슴살 1kg, 1kg, 3개",80,"25,500원",(100g당 850원),없음,,113개
,"치킨마켓 냉동 닭가슴살5kg(1kg X 5팩), 1kg, 5개",81,"28,000원",,없음,,263개
모디바,"모디바 국내산 냉동 닭가슴살5kg 닭안심5kg, 500g, 10개",82,"40,500원",,없음,,"3,762개"
,"자연의닭 냉장 닭가슴살(껍질없음), 1kg, 1개",83,"6,500원",,없음,,"2,460개"
모디바,"모디바 국내산 냉동 생닭가슴살 1kgX3팩 3kg, 500g, 6개",84,"23,400원",,없음,,"3,762개"
자연실록,"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 3개",85,"14,760원","(100g당 1,230원)",없음,,"53,287개"
올품,"올품 IQF 닭가슴살 슬라이스 1kg x 2봉, 1kg, 2개",86,"17,570원",(100g당 879원),없음,,"4,017개"
,치킨마켓 국내산 냉장(신선) 생닭안심 닭안심 5kg (1kg x 5팩),87,"28,900원",(100g당 578원),없음,,5개
,"참프레 동물복지 인증 IQF 닭가슴살 (냉동), 1kg, 2개",88,"19,200원",(100g당 960원),없음,,95개
올품,올품 IQF 통 닭가슴살 1kg 3봉,89,"28,990원",(100g당 966원),없음,,163개
,"두메산골 두메산골 [sogood]냉동 소포장 생 닭가슴살 200g *10팩 외, 200g, 20개",90,"37,900원",(100g당 948원),없음,,18개
,"라라푸드 국내산100% 냉장 생닭가슴살, 5kg, 1개",91,"32,000원",(100g당 640원),없음,,30개
,"세림푸드시스템 달기우리 냉동 생닭가슴살 200g, 200g, 25개",92,"39,000원",,없음,,39개
올품,"올품 닭가슴살 1kg 5봉, 1kg, 5개",93,"33,700원",(100g당 674원),없음,,269개
하림,"하림 IFF 가슴살, 1kg, 3개",94,"27,580원",,없음,,"6,006개"
미트리,"미트리 IQF 생닭가슴살, 1kg, 1개",95,"16,910원","(100g당 1,691원)",없음,,"1,102개"
하림IFF,"하림 IFF 닭가슴살 (냉동), 800g, 3개",96,"20,810원",(100g당 867원),없음,,3개
,"치킨셰프 1등급 국내산 냉동 닭안심살(5kg), 5kg(1kg씩진공..., 1박스",97,"30,710원",(100g당 614원),없음,,188개
,"생닭가슴살 냉동 냉장 1kg 5kg 10kg (1kg 개별포장) [원산지:국산], (냉장)1kg, 5개",98,"31,500원",(100g당 630원),없음,,1개
러브잇,"러브잇 소프트 닭가슴살 오리지널 (냉동), 100g, 24개",99,"37,920원","(100g당 1,580원)","34,120원","(100g당 1,422원)",822개
,"두메산골 두메산골 [sogood]냉동 소포장 생 닭가슴살 200g *10팩 외, 200g, 10개",100,"20,900원","(100g당 1,045원)",없음,,18개
신선애,신선애 [신선애] 냉동 생 닭가슴살 5kg (200g x 25P),101,"58,300원","(100g당 1,166원)","46,640원",(100g당 933원),47개
모디바,"모디바 국내산 냉동 생닭가슴살 500g 1kg, 1kg, 1개",102,"7,100원",,"6,740원",,"3,762개"
gomgom,"곰곰 1등급 닭가슴살 (냉장), 1kg, 1개",103,"11,460원","(100g당 1,146원)",없음,,"3,474개"
,새벽닭 닭가슴살 120g 1팩 (냉장),104,"1,050원",,없음,,47개
,"목우촌 무항생제 IQF 닭가슴살(냉동), 1kg, 2개",105,"24,520원","(100g당 1,226원)",없음,,"1,013개"
,푸르델리 냉동 생 닭안심살(500g) 10팩 5kg,106,"29,000원",,없음,,40개
하림,"하림 IFF 무항생제 닭안심, 1kg, 2개",107,"22,000원","(100g당 1,100원)",없음,,16개
,국내산 냉동 닭가슴살 2kg,108,"17,800원",(100g당 890원),없음,,196개
,"[No Brand][노브랜드] 냉동 닭가슴살 1kg x2, 1kg, 2개",109,"22,800원","(100g당 1,140원)",없음,,456개
,"[브린] 국내산 냉동 닭가슴살 (껍질없음), 2kg, 1개",110,"14,580원",(100g당 729원),없음,,65개
,한결컴퍼니 생 닭가슴살 1kg 냉동 손질 닭가슴살 가슴살 수제간식재료 닭고기,111,"5,500원",,없음,,6개
올품,"올품 IQF 통 닭가슴살 1kg x 10봉, 1kg, 10개",112,"75,840원",(100g당 758원),없음,,952개
미쳤닭,"미쳤닭 냉동 생닭가슴살 (100g포장), 100g, 30개",113,"44,500원","(100g당 1,483원)",없음,,"1,313개"
,국내산 냉동 생 닭가슴살,114,"14,000원",(100g당 700원),없음,,3개
,"푸르델리 냉동 생 닭가슴살(120g) 개별진공포장 50팩 6kg, 120g, 50개",115,"57,000원",,없음,,587개
,녹차 닭가슴살 10KG / 1KG X 10개,116,"65,500원",(100g당 655원),없음,,150개
,"언니네 국내산 냉동 냉장 생 닭 가슴살 10kg (1kg*10팩 10킬로), 1kg, 10개",117,"58,890원",(100g당 589원),없음,,168개
올품,올품 못난이 생닭가슴살 5kg (1kg X 5봉) 국내산 냉동,118,"44,000원",(100g당 73원),없음,,0개
,신선하닭 국내산 생 닭가슴살 5Kg,119,"31,000원",,없음,,107개
gomgom,"곰곰 1등급 닭가슴살 (냉장), 1kg, 2개",120,"22,230원","(100g당 1,112원)",없음,,"3,474개"
,"국내산 생 닭가슴살 10kg (1kg소포장), 냉동, 10개",121,"61,000원",(100g당 610원),없음,,1개
신선애,"신선애 IQF 한입 닭가슴살 1kg, 1kg, 5팩",122,"50,000원","(100g당 1,000원)","40,000원",(100g당 800원),8개
하림,"하림 IFF 가슴살, 1kg, 4개",123,"35,000원",,없음,,"6,006개"
,국내산 생 닭가슴살 헬스 냉장 냉동 1kg포장,124,"6,300원",,없음,,63개
,"[모던푸드] 무염 국내산 냉동 생 닭가슴살 5봉, 1kg, 5개",125,"31,500원",(100g당 630원),없음,,57개
,"무염 무첨가물 순수 닭가슴살 냉동, 500g, 6개",126,"26,400원",(100g당 880원),"21,120원",(100g당 704원),491개
,"치킨마켓 국내산 냉동 닭안심10kg(1kg X 10팩), 1kg(10팩), 1개",127,"56,900원","(100g당 5,690원)",없음,,292개
,"한강 무항생제 인증 IQF 닭 안심 (냉동), 2kg, 1개",128,"18,820원",(100g당 941원),없음,,0개
,그린팜스 국내산닭가슴살 (3KG/냉장),129,"27,200원",(100g당 907원),없음,,20개
마니커,"마니커 1등급 닭가슴살 (냉장), 1kg, 2개",130,"22,400원","(100g당 1,120원)","19,400원",(100g당 970원),"1,791개"
,"국내산 닭고기 진영 닭가슴살, 냉동가슴살500g, 10개",131,"30,500원",,없음,,"1,669개"
,푸르델리 냉동 생 닭가슴살 (1kg) 1팩,132,"6,100원",,"5,500원",,100개
하림,"하림 하림 냉동 닭가슴살2.4kg, 종이박스포장, 1개",133,"29,690원",,없음,,0개
,"두메산골 두메산골 [sogood]냉동 소포장 생 닭가슴살 200g *10팩 외, 200g, 25개",134,"46,500원",(100g당 930원),없음,,18개
,"국내산 생 닭 안심살 1kg 소분포장 생닭가슴살 냉동 냉장 500g 2.5kg 5kg, 닭안심& 2.5kg, 1개",135,"17,000원",,없음,,0개
하림IFF,"하림 IFF 닭가슴살 (냉동), 800g, 1개",136,"7,300원",(100g당 913원),없음,,3개
,우리푸드 국내산 냉장 닭가슴살 1kg,137,"7,900원",,없음,,"1,002개"
,닭가슴살(냉동) 친환경 2kg,138,"14,340원",,없음,,55개
마니커,"마니커 IQF 닭고기 가슴살 (냉동), 3kg, 1개",139,"29,700원",(100g당 990원),"28,200원",(100g당 940원),"27,978개"
,푸르델리 무항생제 냉동 생닭가슴살(1kg) 1팩,140,"6,400원",,"6,080원",,25개
모디바,"모디바 국내산 냉동 생닭가슴살 500g 1kg, 500g, 1개",141,"3,900원",,"3,700원",,"3,762개"
,"치킨셰프 100%국내산 냉동 닭가슴살5kg - 일일 150kg 한정판매, 5kg (1kg×5..., 1박스",142,"33,500원",(100g당 670원),없음,,"1,407개"
,신선하닭 국내산 냉장 생닭가슴살 1Kg,143,"7,000원",,없음,,243개
,"바네푸드 냉동 닭안심살 10kg (1kg x 10팩), 1kg, 10개",144,"55,500원",(100g당 555원),없음,,220개
,우리푸드 국내산 냉장 닭가슴살 1kg,145,"7,900원",,없음,,"1,002개"
,닭가슴살(냉동) 친환경 2kg,146,"14,340원",,없음,,55개
마니커,"마니커 IQF 닭고기 가슴살 (냉동), 3kg, 1개",147,"29,700원",(100g당 990원),"28,200원",(100g당 940원),"27,978개"
,푸르델리 무항생제 냉동 생닭가슴살(1kg) 1팩,148,"6,400원",,"6,080원",,25개
모디바,"모디바 국내산 냉동 생닭가슴살 500g 1kg, 500g, 1개",149,"3,900원",,"3,700원",,"3,762개"
,"치킨셰프 100%국내산 냉동 닭가슴살5kg - 일일 150kg 한정판매, 5kg (1kg×5..., 1박스",150,"33,500원",(100g당 670원),없음,,"1,407개"
하림,"하림 IFF 가슴살, 1kg(1개입), 6개",151,"50,000원",,없음,,"6,006개"
,신선하닭 국내산 냉장 생닭가슴살 1Kg,152,"7,000원",,없음,,243개
,"바네푸드 냉동 닭안심살 10kg (1kg x 10팩), 1kg, 10개",153,"55,500원",(100g당 555원),없음,,220개
,"언니네 국내산 생 닭가슴살 냉동 냉장 500g*10 팩 (5킬로) 실속특판, 500g, 10개",154,"43,000원",(100g당 860원),없음,,168개
,오도푸드 냉동 닭가슴살 1kg*2팩 총2kg 특가판매,155,"16,500원",(100g당 825원),없음,,50개
,[맛난꼬꼬 닭가슴살]국내산 신선 닭가슴살(냉동),156,"30,500원",(100g당 610원),없음,,29개
,"[브린] 국내산 냉동 닭가슴살 (껍질없음), 1kg, 1개",157,"7,750원",,"6,200원",,65개
,거성푸드 생 닭가슴살 냉동 1kg 1팩,158,"8,200원",,없음,,11개
,냉동 냉장 1kg헬스 통닭가슴살 1kg,159,"6,200원",,없음,,135개
,"세림푸드시스템 달기우리 냉동 생닭가슴살 200g, 200g, 50개",160,"77,000원",(100g당 770원),없음,,39개
신선애,"신선애 IQF 한입 닭가슴살 200g, 200g, 25개",161,"51,300원","(100g당 1,026원)","41,040원",(100g당 821원),4개
,"푸르델리 냉동 생 닭가슴살(500g) 1팩, 500g, 1개",162,"3,250원",,"3,080원",,587개
목우촌,"목우촌 무항생제 IQF 닭가슴살 1kgx2개 무료배송/냉동 국산 닭고기 식자재 급식 닭가슴살 브런치 샐러드 볶음밥 월남쌈 또띠아 부리또 간식 반찬, 1kg(1개), 2개",163,"21,790원","(100g당 1,090원)",없음,,"1,013개"
,"치킨마켓 국내산 냉동 생닭가슴살 1KG, 1kg, 1개",164,"5,800원",,없음,,263개
gomgom,"곰곰 닭안심 (냉장), 600g, 8개",165,"31,970원",(100g당 666원),없음,,397개
,"푸르델리 냉동 생 닭가슴살(120g) 개별진공포장, 120g, 1개",166,"1,190원",,"1,110원",,587개
,"한강식품 IQF 무항생제 닭안심 (냉동), 1kg, 5개",167,"41,030원",(100g당 821원),없음,,"3,930개"
마니커,"마니커 1등급 닭가슴살 (냉장), 1kg, 3개",168,"33,600원","(100g당 1,120원)","29,100원",(100g당 970원),"1,791개"
,"[브린] 국내산 신선냉장 닭가슴살 일반 대용량 (껍질없음), 5kg, 4개",169,"114,800원",(100g당 574원),없음,,937개
마니커,"마니커 IQF 닭고기 가슴살 (냉동), 2kg, 2개",170,"38,410원",(100g당 960원),없음,,"27,978개"
,"자연의닭 냉장 닭 안심, 5kg, 1개",171,"30,000원",(100g당 600원),"28,500원",(100g당 570원),440개
하림IFF,"하림 IFF 핑크솔트 한입 닭가슴살 (냉동), 1.1kg, 2개",172,"22,750원","(100g당 1,034원)",없음,,"3,868개"
하림,친환경 무항생제 자연실록 닭가슴살 400g 2봉,173,"14,500원","(100g당 1,813원)",없음,,93개
올품,"올품 닭가슴살 진공팩 (냉장), 1kg, 4개",174,"42,040원","(100g당 1,051원)",없음,,731개
,"치킨마켓 국내산 냉장(신선) 생닭가슴살 1KG, 1kg, 1개",175,"6,090원",,없음,,45개
미트리,"미트리 IQF 생닭가슴살, 1kg, 7개",176,"77,910원","(100g당 1,113원)",없음,,"1,102개"
,"한강식품 IQF 무항생제 닭안심 (냉동), 1kg, 3개",177,"25,630원",(100g당 854원),없음,,"3,930개"
,"오다닭 국내산 냉동 생 닭가슴살 (껍질없음) 신선 1kg 1팩, 1kg, 1개",178,"5,300원",,없음,,0개
허닭,[허닭] 닭가슴살 리뉴얼 리얼 알짜 패키지 20팩,179,"27,900원","(100g당 27,900원)",없음,,485개
gomgom,"곰곰 닭가슴살 (냉장), 1kg, 2개",180,"24,310원","(100g당 1,216원)","23,810원","(100g당 1,191원)","1,190개"
하림,"하림 닭가슴살 블랙페퍼 100g 20개, 100g, 20개",181,"39,390원",(10g당 197원),없음,,"13,975개"
,냉동 생 닭가슴살 대용량 국내산 냉동닭가슴살 1kg 2kg 3kg 5kg 10kg,182,"27,500원",,없음,,12개
올품,"올품 닭가슴살 슬라이스 IQF (냉동), 2kg, 1개",183,"16,650원",(100g당 833원),"16,650원",(100g당 833원),"23,644개"
하림,"하림 IFF 무항생제 닭안심, 1kg, 5개",184,"49,800원",(100g당 996원),없음,,16개
,"하림 무항생제 1등급 냉장 생 닭가슴살 1kg, 탕수육용, 1개",185,"9,200원",,없음,,109개
올품,"올품 IQF 슬라이스 닭가슴살, 1kg, 1개",186,"10,330원","(100g당 1,033원)",없음,,"4,017개"
자연실록,"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 6팩",187,"29,520원","(100g당 1,230원)",없음,,"53,287개"
,"[치킨의제왕] 국내산 생닭가슴살 1kg 2kg 5kg 대용량, 5kg, 1개",188,"27,000원",,없음,,17개
올품,"올품 닭가슴살 슬라이스 IQF (냉동), 2kg, 2개",189,"34,180원",(100g당 855원),"32,180원",(100g당 805원),"23,644개"
마니커,"마니커 가슴살 슬라이스 (냉동), 3kg, 1개",190,"36,370원","(100g당 1,212원)",없음,,868개
,"오다닭 닭가슴살 스팀 (저염분) 세트구성, 100g, 30개",191,"45,700원","(100g당 1,523원)","42,850원","(100g당 1,428원)",579개
올품,"올품 닭가슴살(진공) 1kg 3봉, 1kg, 3개",192,"20,900원",(100g당 697원),없음,,269개
,"오다닭 국내산 냉동 생 닭가슴살 (껍질없음) 신선 1kg 1팩, 1kg, 5개",193,"26,500원",,없음,,0개
자연실록,"하림 자연실록 동물복지 인증 닭가슴살 (냉장), 400g, 1개",194,"7,900원","(100g당 1,975원)",없음,,4개
올품,올품 IQF 닭가슴살 슬라이스 1kg x 3봉,195,"26,900원","(100g당 1,345원)",없음,,4개
하림IFF,"하림 IFF 닭 안심살 (냉동), 2kg, 1개",196,"17,870원",(100g당 894원),없음,,"6,076개"
,"푸르델리 냉동 생 닭가슴살(2kg) 5팩 10kg, 2kg, 5개",197,"59,000원",(100g당 590원),"51,710원",(100g당 517원),587개
,"[치킨의제왕] 국내산 생닭가슴살 1kg 2kg 5kg 대용량, 1kg, 1개",198,"6,000원",,없음,,17개
자연실록,"자연실록 무항생제 인증 닭가슴살 (냉장), 1.5kg, 1개",199,"20,940원","(100g당 1,396원)",없음,,"53,287개"
,"사계림 국내산 냉장 생닭가슴살, 1kg (1팩), 1개",200,"10,820원","(100g당 1,082원)",없음,,54개
,국내산 신선한 생 닭가슴살 10kg(5kg*2팩) 냉동,201,"76,900원","(100g당 1,538원)",없음,,12개
,바네푸드 냉동/냉장 닭가슴살 5kg (1kg x 5팩),202,"32,300원",(100g당 646원),없음,,74개
,네이처그램 냉동 닭가슴살,203,"2,000원",,없음,,125개
자연실록,"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 10팩",204,"49,200원","(100g당 1,230원)",없음,,"53,287개"
,"국내산 닭고기 진영 닭가슴살, 냉장가슴살500g, 6개",205,"18,300원",,없음,,"1,669개"
,"브린 껍질없는 닭가슴살, 1kg, 1개",206,"7,400원",,"7,030원",,937개
목우촌,"목우촌 무항생제 인증 IQF 닭가슴살 (냉동), 1kg, 3개",207,"27,940원",(100g당 931원),"24,340원",(100g당 811원),"2,018개"
굽네,"굽네 로드닭 생닭가슴살 1kg, 5kg, 5개",208,"56,500원","(100g당 1,130원)",없음,,128개
,"다고리 국내산 냉동 닭가슴살 1kg / HACCP업체, 1kg, 1개",209,"8,500원",,없음,,129개
,"한강식품 IQF 무항생제 닭안심 (냉동), 1kg, 2개",210,"17,440원",(100g당 872원),없음,,"3,930개"
,[산지직송] 순수한,211,"43,900원",(100g당 878원),"40,950원",(100g당 819원),140개
미쳤닭,"미쳤닭 냉동 생닭가슴살 (200g포장), 200g, 5개",212,"14,900원","(100g당 1,490원)",없음,,"1,313개"
,"올계 유기농인증 닭가슴살 (냉동), 300g, 1개",213,"12,830원","(100g당 4,277원)",없음,,385개
신선애,"신선애 IQF 한입 닭가슴살 1kg, 1kg, 1팩",214,"10,500원",,없음,,8개
,"풀토래_냉장 닭안심 2kg_국내산, 2kg, 2개",215,"27,800원",(100g당 695원),없음,,"2,866개"
올품,"올품 IQF 닭가슴살 슬라이스, 1kg, 5개",216,"42,500원",(100g당 850원),없음,,28개
